Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite_Patrimonio,Chrome 111.0.0.0,,,2023-04-06 11:35:57,2023-04-06 11:38:08,"2m - 10,739s",FAILED
,,,,,,,
Test Cases/Loginfont TC/Log,Chrome 111.0.0.0,,,2023-04-06 11:35:57,2023-04-06 11:36:33,"35,685s",PASSED
"openBrowser(""http://10.129.105.196:7003/frontoffice/login"")",Chrome 111.0.0.0,,,2023-04-06 11:35:57,2023-04-06 11:36:03,"5,413s",PASSED
"sendKeys(findTestObject(""Object Repository/Login/ID_utilizador""), ""Patrimonio2RF"")",Chrome 111.0.0.0,,,2023-04-06 11:36:03,2023-04-06 11:36:03,"0,466s",PASSED
"sendKeys(findTestObject(""Object Repository/Login/input_Password_j_password""), ""PAT2ref"")",Chrome 111.0.0.0,,,2023-04-06 11:36:03,2023-04-06 11:36:04,"0,382s",PASSED
"click(findTestObject(""Object Repository/Login/Iniciar_Sesso""))",Chrome 111.0.0.0,,,2023-04-06 11:36:04,2023-04-06 11:36:33,"29,176s",PASSED
,,,,,,,
Test Cases/Processo_Imovel TC/Submissão de Imovel,Chrome 111.0.0.0,,,2023-04-06 11:38:08,2023-04-06 11:38:08,"0,104s",FAILED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Patrimnio""))",Chrome 111.0.0.0,,,2023-04-06 11:38:08,2023-04-06 11:38:08,"0,097s",FAILED
