Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite_Patrimonio,Chrome 111.0.0.0,,,2023-04-11 11:05:59,2023-04-11 11:06:47,"48,242s",PASSED
,,,,,,,
Test Cases/Loginfont TC/Log,Chrome 111.0.0.0,,,2023-04-11 11:05:59,2023-04-11 11:06:11,"12,029s",PASSED
"openBrowser(""http://10.129.105.196:7003/frontoffice/login"")",Chrome 111.0.0.0,,,2023-04-11 11:06:00,2023-04-11 11:06:03,"3,300s",PASSED
"sendKeys(findTestObject(""Object Repository/Login/ID_utilizador""), ""Patrimonio2RF"")",Chrome 111.0.0.0,,,2023-04-11 11:06:03,2023-04-11 11:06:03,"0,442s",PASSED
"sendKeys(findTestObject(""Object Repository/Login/input_Password_j_password""), ""PAT2ref"")",Chrome 111.0.0.0,,,2023-04-11 11:06:03,2023-04-11 11:06:04,"0,383s",PASSED
"click(findTestObject(""Object Repository/Login/Iniciar_Sesso""))",Chrome 111.0.0.0,,,2023-04-11 11:06:04,2023-04-11 11:06:11,"7,644s",PASSED
,,,,,,,
Test Cases/Processo_Imovel TC/Submissão de Imovel,Chrome 111.0.0.0,,,2023-04-11 11:06:11,2023-04-11 11:06:47,"36,027s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Patrimnio""))",Chrome 111.0.0.0,,,2023-04-11 11:06:12,2023-04-11 11:06:12,"0,384s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Cadastro""))",Chrome 111.0.0.0,,,2023-04-11 11:06:12,2023-04-11 11:06:13,"0,843s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Prdio""))",Chrome 111.0.0.0,,,2023-04-11 11:06:13,2023-04-11 11:06:13,"0,473s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Urbano""))",Chrome 111.0.0.0,,,2023-04-11 11:06:13,2023-04-11 11:06:14,"0,579s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Propriedade Total""))",Chrome 111.0.0.0,,,2023-04-11 11:06:14,2023-04-11 11:06:20,"5,806s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/div_REGIME JURDICO""))",Chrome 111.0.0.0,,,2023-04-11 11:06:20,2023-04-11 11:06:20,"0,468s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/div_IDENTIFICAO DO DECLARANTE""))",Chrome 111.0.0.0,,,2023-04-11 11:06:20,2023-04-11 11:06:21,"0,463s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/btn_loopa_Declarante""))",Chrome 111.0.0.0,,,2023-04-11 11:06:21,2023-04-11 11:06:21,"0,612s",PASSED
"sendKeys(findTestObject(""Object Repository/Processo_Sub_Imovel/input_Nome do Contribuinte_frmSearchNIFBranchedialogSearchNIF-nameInput""), ""MARCOS"")",Chrome 111.0.0.0,,,2023-04-11 11:06:21,2023-04-11 11:06:23,"1,900s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Pesquisar""))",Chrome 111.0.0.0,,,2023-04-11 11:06:23,2023-04-11 11:06:24,"0,360s",PASSED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/td_ADHEMAR MARCOS""))",Chrome 111.0.0.0,,,2023-04-11 11:06:24,2023-04-11 11:06:28,"4,679s",PASSED
