Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite_Patrimonio,Chrome 111.0.0.0,,,2023-04-08 10:40:03,2023-04-08 10:40:39,"35,960s",FAILED
,,,,,,,
Test Cases/Loginfont TC/Log,Chrome 111.0.0.0,,,2023-04-08 10:40:03,2023-04-08 10:40:13,"10,482s",PASSED
"openBrowser(""http://10.129.105.196:7003/frontoffice/login"")",Chrome 111.0.0.0,,,2023-04-08 10:40:03,2023-04-08 10:40:06,"3,184s",PASSED
"sendKeys(findTestObject(""Object Repository/Login/ID_utilizador""), ""Patrimonio2RF"")",Chrome 111.0.0.0,,,2023-04-08 10:40:06,2023-04-08 10:40:07,"0,411s",PASSED
"sendKeys(findTestObject(""Object Repository/Login/input_Password_j_password""), ""PAT2ref"")",Chrome 111.0.0.0,,,2023-04-08 10:40:07,2023-04-08 10:40:07,"0,403s",PASSED
"click(findTestObject(""Object Repository/Login/Iniciar_Sesso""))",Chrome 111.0.0.0,,,2023-04-08 10:40:07,2023-04-08 10:40:13,"6,230s",PASSED
,,,,,,,
Test Cases/Processo_Imovel TC/Submissão de Imovel,Chrome 111.0.0.0,,,2023-04-08 10:40:38,2023-04-08 10:40:39,"0,109s",FAILED
"click(findTestObject(""Object Repository/Processo_Sub_Imovel/span_Patrimnio""))",Chrome 111.0.0.0,,,2023-04-08 10:40:38,2023-04-08 10:40:39,"0,099s",FAILED
